weapon1,weapon2,hypothesis,accf,cmc,n,split1,split2,split3
116788,116788,1,45.8448,39,42,t,v,t
276592,276592,1,37.8631,21,38,v,t,t
142253,142253,1,35.4155,12,31,t,v,t
120210,120210,1,65.0432,33,38,t,t,v
184073,184073,1,39.3444,20,33,v,t,t
785730,785730,1,49.0376,17,33,v,t,t
551418,551418,1,42.3263,29,34,v,t,t
166079,166079,1,25.7696,4,45,t,t,v
175626,175626,1,37.5964,0,23,v,t,t
291014,291014,1,34.4223,17,28,t,v,t
786750,786750,1,28.5696,9,40,v,t,t
135573,135573,1,38.1552,17,33,v,t,t
350693,350693,1,42.6606,13,36,v,t,t
122399,122399,1,31.5996,5,32,v,t,t
680968,680968,1,12.0005,4,32,t,v,t
155040,155040,1,57.5473,19,34,t,t,v
698697,698697,1,51.8723,16,28,t,t,v
119553,119553,1,29.7745,8,29,t,v,t
247208,247208,1,21.1169,10,28,t,v,t
700473,700473,1,19.531,11,38,v,t,t
108681,108681,1,25.9562,15,37,t,t,v
401970,401970,1,43.4225,18,32,t,t,v
971907,971907,1,42.6695,24,40,t,v,t
452294,452294,1,40.3916,10,31,v,t,t
419117,419117,1,47.345,26,40,v,t,t
647011,647011,1,21.4677,8,29,v,t,t
565176,565176,1,31.9628,12,34,t,v,t
173194,173194,1,48.4656,30,39,t,t,v
494008,494008,1,20.7512,8,30,t,v,t
200909,200909,1,33.501,8,40,v,t,t
570795,570795,1,20.9806,19,29,v,t,t
102716,102716,1,27.9254,10,29,v,t,t
289907,289907,1,28.4373,10,33,t,v,t
323245,323245,1,73.6088,30,33,t,t,v
630733,630733,1,17.6075,0,36,v,t,t
126105,126105,1,33.1694,18,44,v,t,t
149346,149346,1,33.6313,13,27,t,t,v
411547,411547,1,19.1945,1,40,t,t,v
153273,153273,1,49.7863,7,34,v,t,t
511131,511131,1,65.2074,18,34,t,t,v
126395,126395,1,36.3344,18,37,t,t,v
586874,586874,1,23.983,23,45,t,v,t
101711,101711,1,45.2551,21,37,v,t,t
179328,179328,1,27.2472,8,28,t,v,t
570700,570700,1,31.756,3,34,t,t,v
131974,131974,1,36.9542,5,34,t,t,v
951259,951259,1,53.3437,15,44,t,t,v
130710,130710,1,16.1283,18,42,t,v,t
234109,234109,1,68.6824,13,22,t,t,v
383480,383480,1,9.5117,15,29,t,t,v
183414,117189,0,15.1451,1,31,n,n,t
183414,802941,0,13.5429,0,31,n,t,n
183414,522184,0,19.1897,0,31,n,n,t
183414,164338,0,10.4462,1,31,v,t,t
183414,383480,0,13.0188,1,31,n,t,n
271400,117189,0,15.3519,1,28,n,n,t
271400,802941,0,11.9125,1,28,n,t,n
271400,522184,0,12.1605,0,28,n,n,t
271400,164338,0,9.1753,1,28,v,t,t
271400,383480,0,13.1141,1,28,n,t,n
117189,802941,0,12.2009,0,30,t,n,n
117189,162764,0,19.2321,1,30,n,n,t
117189,185661,0,23.9157,0,30,t,v,t
802941,162764,0,11.7541,0,32,n,t,n
802941,185661,0,11.3911,1,32,t,n,n
522184,164338,0,7.8264,1,33,n,n,t
522184,162764,0,16.0479,0,33,n,n,t
522184,185661,0,8.2196,1,33,t,v,t
164338,162764,0,10.5599,0,29,v,t,t
164338,185661,0,12.3899,1,29,n,n,t
162764,185661,0,18.4736,1,30,n,n,t
568993,105510,0,23.3976,2,31,t,v,t
568993,148142,0,9.5523,1,31,t,v,t
568993,115410,0,14.6399,0,31,t,v,t
568993,889531,0,17.3526,0,31,t,v,t
568993,164599,0,8.7494,1,31,n,n,t
105510,148142,0,11.9601,2,31,t,v,t
105510,115410,0,15.2312,0,31,t,v,t
105510,889531,0,19.1288,0,31,t,v,t
105510,164599,0,7.5136,1,31,n,n,t
148142,115410,0,15.1584,3,38,t,v,t
148142,895207,0,11.2508,0,38,t,v,t
148142,116307,0,10.4983,0,38,n,n,t
115410,895207,0,18.2639,1,33,t,v,t
115410,116307,0,10.7952,1,33,n,n,t
889531,164599,0,10.505,1,22,n,n,t
889531,895207,0,13.4655,0,22,t,v,t
889531,116307,0,13.6135,0,22,n,n,t
164599,895207,0,11.1978,0,36,n,n,t
164599,116307,0,8.28,0,36,v,t,t
895207,116307,0,13.4769,0,31,n,n,t
155749,987083,0,14.9359,2,33,n,n,t
155749,159161,0,20.5602,2,33,n,n,t
155749,255305,0,13.1007,2,33,t,n,n
155749,142246,0,12.1018,0,33,t,v,t
155749,179830,0,11.9417,1,33,t,v,t
987083,159161,0,21.2112,0,33,v,t,t
987083,255305,0,16.0447,1,33,n,t,n
987083,142246,0,23.6617,1,33,n,n,t
987083,179830,0,10.6103,0,33,n,n,t
159161,255305,0,16.5605,0,26,n,t,n
159161,180865,0,12.4827,0,26,n,t,n
159161,588210,0,12.4886,0,26,n,t,n
255305,180865,0,11.6157,1,40,t,t,v
255305,588210,0,9.4843,1,40,t,t,v
142246,179830,0,11.6314,0,33,t,v,t
142246,180865,0,18.5114,0,33,t,n,n
142246,588210,0,10.3026,1,33,t,n,n
179830,180865,0,10.8766,0,41,t,n,n
179830,588210,0,8.4516,0,41,t,n,n
180865,588210,0,11.3452,1,31,t,t,v
156659,126156,0,9.4122,0,34,n,n,t
156659,972579,0,16.9089,0,34,t,n,n
156659,171658,0,14.9109,1,34,t,n,n
156659,892635,0,9.3563,0,34,t,n,n
156659,462611,0,19.6656,0,34,n,n,t
126156,972579,0,10.5067,1,32,n,t,n
